Title,Year,Rating,TotalVotes,Genre1,Genre2,Genre3,MetaCritic,Runtime,Budget,CVotes01,CVotes02,CVotes03,CVotes04,CVotes05,CVotes06,CVotes07,CVotes08,CVotes09,CVotes1000,CVotes1829,CVotes1829F,CVotes1829M,CVotes3044,CVotes3044F,CVotes3044M,CVotes45A,CVotes45AF,CVotes45AM,CVotesFemale,CVotesMale,CVotesU18,CVotesU18F,CVotesU18M,CVotesUS,CVotesnUS,Votes1000,Votes1829,Votes1829F,Votes1829M,Votes3044,Votes3044F,Votes3044M,Votes45A,Votes45AF,Votes45AM,VotesF,VotesIMDB,VotesM,VotesU18,VotesU18F,VotesU18M,VotesUS,VotesnUS,CVotes10
Pride,2014,7.8,"40,577",Biography,Comedy,Drama,79,,"Production Co:        PathÃƒÂ©,        BBC Films,        Proud Films              See moreÂ»",798,160,209,355,935,2677,8196,13286,7731,288,12891,4836,7830,14115,3476,10412,5303,1163,4045,10096,23595,118,53,64,3222,23143,6.7,7.9,8.2,7.7,7.6,7.9,7.5,7.9,8.2,7.8,8.1,8.2,7.6,8,8.9,7.6,7.7,7.7,6231
Prisoners,2013,8.1,"441,037",Crime,Drama,Mystery,74,153 min,"$46,000,000 ",1978,897,1376,2540,6515,20845,77122,161533,110853,650,177661,31288,144671,132740,19074,111870,23642,3934,19293,59221,297561,1332,248,1075,48353,208355,7.6,8.2,8.1,8.2,7.9,7.9,7.9,7.7,7.8,7.7,8,7.9,8.1,8.6,8.7,8.6,8.1,8,57400
Rise of the Planet of the Apes,2011,7.6,"434,037",Action,Drama,Sci-Fi,68,,"Opening Weekend:         54,806,191              (USA)      (5 August 2011)",2773,1566,2524,5252,13541,40634,116877,150351,61881,746,165596,24111,139939,156688,17241,137427,29985,3873,25601,47940,320581,1447,202,1234,68084,213736,7.1,7.6,7.6,7.6,7.5,7.5,7.5,7.4,7.5,7.4,7.5,7.1,7.6,7.8,7.9,7.8,7.6,7.5,38666
Rogue One,2016,7.9,"349,210",Action,Adventure,Sci-Fi,65,133 min,"$200,000,000 ",3901,1527,2268,4002,9915,26072,63394,100374,78701,569,110156,15918,93000,104268,10442,92227,23372,2587,20336,32521,229114,2577,388,2176,47885,139367,7.5,7.9,7.9,7.9,7.8,7.8,7.8,7.8,7.8,7.8,7.9,7.9,7.9,8,8.1,8,8,7.7,59090
Rush,2013,8.1,"345,486",Action,Biography,Drama,75,123 min,"$38,000,000 ",1532,633,803,1625,4436,14948,57343,119603,90907,593,138327,17987,119048,105712,11717,92487,20105,2660,17096,35289,246354,888,115,769,30738,168519,7.1,8.3,8.2,8.3,8,7.9,8,7.8,7.8,7.8,8,7.4,8.1,8.3,8,8.3,7.9,8.1,53667
Scott Pilgrim vs. the World,2010,7.5,"297,633",Action,Comedy,Romance,69,112 min,"$60,000,000 ",6287,3069,4254,6977,13451,28452,59689,79198,48976,677,129202,28557,99363,102986,13334,88456,14195,1778,12157,45718,208417,1022,221,791,56559,150511,6.6,7.6,7.5,7.7,7.4,7.2,7.4,7.1,7,7.1,7.4,7.8,7.5,8.1,8,8.2,7.8,7.4,47292
Short Term 12,2013,8,"63,459",Drama,,,82,,"Opening Weekend:         56,206              (USA)      (23 August 2013)",352,248,362,575,1237,3649,11509,21228,14786,319,28084,7316,20441,18841,3341,15219,3977,799,3104,12108,40594,172,51,119,11174,31098,7,8.2,8.3,8.2,7.8,7.9,7.7,7.7,8,7.7,8.2,8.5,8,8.5,8.7,8.5,8.3,7.9,9518
Shutter Island,2010,8.1,"871,391",Mystery,Thriller,,63,138 min,"$80,000,000 ",4703,2662,3780,7061,15615,45167,132349,278844,230844,840,364786,78332,283316,263273,42222,217923,43235,7256,35277,136360,570554,2321,494,1811,108244,419648,7.6,8.4,8.4,8.4,7.9,8,7.9,7.5,7.6,7.4,8.2,7.3,8.1,8.6,8.8,8.6,7.8,8.1,150405
Sicario,2015,7.6,"250,849",Action,Crime,Drama,82,121 min,"$30,000,000 ",1689,970,1669,3261,8548,24920,64633,85359,40247,526,86373,9762,75660,84517,8116,75208,17615,2011,15277,21448,178321,730,73,650,30824,118922,7.2,7.7,7.3,7.7,7.5,7.2,7.6,7.6,7.4,7.6,7.3,8,7.6,7.8,7.2,7.8,7.8,7.6,19576
Silver Linings Playbook,2012,7.8,"570,344",Comedy,Drama,Romance,81,122 min,"$21,000,000 ",4470,2457,3682,6997,17257,46614,123467,184382,107247,733,236404,73922,160001,170543,38160,129880,32839,7550,24722,131000,338051,1548,660,875,79953,259084,6.9,7.9,7.7,7.9,7.6,7.6,7.7,7.6,7.7,7.6,7.7,8,7.8,8.1,8.1,8.1,8,7.6,73783
Sing Street,2016,8,"56,066",Comedy,Drama,Music,79,,"Opening Weekend:         63,573              (USA)      (15 April 2016)",200,79,135,303,825,3089,10616,19689,12738,225,21258,4808,16219,14781,2423,12094,4053,637,3329,8738,34349,412,109,300,7186,24645,7.2,8.1,8.1,8.1,7.8,7.8,7.8,7.9,8,7.8,8,8.2,8,8.5,8.4,8.5,8.1,7.9,8401
Skyfall,2012,7.8,"552,367",Action,Adventure,Thriller,81,143 min,"$200,000,000 ",5440,2378,3706,6682,16321,45168,119630,178610,105160,802,211059,33140,175769,178148,21704,153888,40529,5793,34070,65929,391158,1726,264,1443,73825,262166,7.4,7.9,7.8,7.9,7.6,7.6,7.6,7.7,7.9,7.7,7.7,7.6,7.7,8.2,7.9,8.2,8,7.6,69286
Spotlight,2015,8.1,"279,211",Crime,Drama,History,93,128 min,"$20,000,000 ",1388,517,698,1365,4034,13488,49236,100793,72285,568,104770,22603,81050,79398,13310,64865,17981,3485,14134,43313,173290,1197,223,961,33235,125291,7.5,8.2,8.2,8.2,8,8,8,8.1,8.4,8,8.1,8.6,8.1,8.3,8.4,8.3,8.3,8,35421
Star Trek Into Darkness,2013,7.8,"421,473",Action,Adventure,Sci-Fi,72,132 min,"$190,000,000 ",3694,1739,2627,4862,11522,32150,87940,136088,81516,747,139465,25177,112847,148254,18897,127249,35964,5593,29756,54871,293195,1167,235,919,71968,181224,7.1,7.9,8.1,7.8,7.6,7.9,7.6,7.7,8.1,7.7,8,7.4,7.7,7.8,8.2,7.8,7.9,7.6,59347
Star Wars: The Force Awakens,2015,8.1,"676,732",Action,Adventure,Fantasy,81,136 min,"$245,000,000 ",15768,4489,5970,8751,18060,40734,99402,166378,161810,712,220467,34366,183671,187138,21362,162918,42942,5729,36441,68664,425971,4722,768,3919,85141,250769,7.7,8.2,8.3,8.2,8,8.2,7.9,7.9,8.2,7.8,8.3,8.3,8,8.5,8.6,8.5,8.2,7.9,155391
Straight Outta Compton,2015,7.9,"144,011",Biography,Drama,History,72,147 min,"$28,000,000 ",2286,427,531,921,2418,7959,26956,48956,29039,393,55050,6918,47556,40331,4713,35072,7220,1214,5880,14262,96591,760,95,658,23736,56104,6.8,8,8,8,7.7,7.8,7.7,7.4,7.7,7.3,8,7.9,7.9,8.3,8.6,8.3,7.9,7.7,24527
Tangled,2010,7.8,"321,593",Animation,Adventure,Comedy,71,,"Opening Weekend:         48,767,052              (USA)      (26 November 2010)",1606,805,1396,3043,8530,26805,70947,97207,54688,622,144744,61390,81897,89588,24912,63534,15318,3805,11277,97213,166088,1950,885,1048,47643,148024,6.9,7.9,8.2,7.7,7.6,8,7.5,7.7,7.9,7.6,8.2,7.5,7.6,7.8,8.3,7.4,7.9,7.7,56575
The Artist,2011,7.9,"201,344",Comedy,Drama,Romance,89,100 min,"$15,000,000 ",3627,1248,1561,2569,5549,13521,35456,61088,45532,630,78061,20653,56575,72326,14301,56949,19149,3773,15042,40741,133682,363,92,269,32063,109571,7.1,8.1,8.2,8.1,7.8,8,7.8,7.8,8.1,7.8,8.1,8.1,7.9,8,8.3,8,8,7.9,31192
The Avengers,2012,8.1,"1,056,773",Action,Sci-Fi,,69,143 min,"$220,000,000 ",15528,4996,7201,12176,27957,67579,162604,264290,234203,842,432999,85465,343012,295318,43303,247617,54282,9138,44183,151617,691783,4953,1150,3767,145826,423958,7.4,8.1,8.3,8.1,8,8.1,8,7.9,8.1,7.9,8.2,7.9,8,8.2,8.5,8.2,8.3,7.9,260257
The Big Short,2015,7.8,"254,317",Biography,Comedy,Drama,81,130 min,"$28,000,000 ",1415,713,1133,2253,6141,18650,58756,94303,48091,501,93777,15725,76925,77242,10813,65202,16496,2658,13532,31804,167875,982,147,825,32587,115947,7.3,7.8,7.6,7.9,7.7,7.6,7.7,7.7,7.8,7.7,7.6,7.9,7.8,7.8,7.6,7.8,7.9,7.7,22879
The Book Thief,2013,7.6,"107,880",Drama,War,,,131 min,"$19,000,000 ",755,342,726,1387,3848,10274,24461,32570,17607,378,41094,16590,24058,32014,7792,23730,10218,2406,7635,29422,59365,481,270,206,10845,52519,6.6,7.7,8,7.6,7.3,7.7,7.2,7.6,8,7.5,7.9,6.7,7.4,8,8.5,7.6,7.6,7.5,15911
The Dark Knight Rises,2012,8.4,"1,240,780",Action,Thriller,,78,164 min,"$250,000,000 ",11988,4073,5713,9589,20106,50406,134959,281426,341965,840,509635,79826,425041,348324,43434,299862,55689,7741,46968,143070,842343,4726,672,4023,160533,501687,7.8,8.7,8.6,8.7,8.3,8.2,8.3,7.9,7.9,7.9,8.4,7.8,8.5,8.6,8.6,8.5,8.4,8.4,380589
The Fault in Our Stars,2014,7.8,"276,272",Drama,Romance,,69,126 min,"$12,000,000 ",4271,1560,2173,3907,8843,21628,49770,70457,51004,426,127407,54368,71749,55300,15674,38826,10189,2836,7180,83384,128951,2833,1910,897,26518,110065,6.8,7.8,8,7.8,7.6,7.8,7.6,7.6,7.7,7.5,7.9,7.5,7.7,8.1,8.5,7.5,7.6,7.7,62666
The Fighter,2010,7.8,"292,823",Action,Biography,Drama,79,116 min,"$25,000,000 ",1163,547,922,1704,4969,17902,64849,117623,55315,684,119646,14740,103848,106479,12203,93016,17229,2681,14289,31021,220445,447,57,388,49851,153538,7.3,8,7.8,8,7.8,7.7,7.8,7.7,7.7,7.7,7.7,7.6,7.9,8.1,8.2,8.1,8,7.8,27835
The Girl with the Dragon Tattoo,2011,7.8,"352,566",Crime,Drama,Mystery,71,158 min,"$90,000,000 ",3369,1330,1846,3339,8041,23722,72617,124463,71561,710,139185,32900,104871,126724,21796,103186,26933,4922,21558,62813,240171,426,105,314,56794,177937,7.4,8,7.9,8,7.7,7.8,7.7,7.7,7.9,7.7,7.9,7.9,7.8,8.1,8.2,8.1,8,7.8,42288
The Grand Budapest Hotel,2014,8.1,"541,526",Adventure,Comedy,Drama,88,99 min,"$25,000,000 ",3971,2204,3196,5455,12023,31632,88086,168705,142011,679,216106,54913,158823,153604,27996,123255,33156,6375,26147,96997,332149,2083,530,1537,58814,248067,7.7,8.2,8.3,8.2,7.9,8,7.9,7.8,7.9,7.8,8.2,8,8.1,8.6,8.5,8.6,8.1,8,84258
